Calc_ColorRamp,Name,Principal nonfuel mineral commodities,State Notes,2023 state rank,Value..millions.
>1.5 to 3,South Carolina,"Cement, gold, sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,21,1680
>0.5 to 1.5,South Dakota,"Cement (portland), gold, lime, sand and gravel (construction), stone (crushed).",,37,549
>1.5 to 3,Tennessee,"Cement, sand and gravel (construction), sand and gravel (industrial), stone (crushed), zinc.",,19,1950
>3 to 10,Texas,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,1,9750
>3 to 10,Utah,"Cement (portland), copper, gold, potash, salt.",,11,3140
0 to 0.5,Vermont,"Sand and gravel (construction), stone (crushed), stone (dimension), talc (crude).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",45,160
>1.5 to 3,Virginia,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,23,1590
>0.5 to 1.5,Washington,"Cement, diatomite, lime, sand and gravel (construction), stone (crushed).",,34,796
0 to 0.5,West Virginia,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",39,231
>1.5 to 3,Wisconsin,"Lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed), stone (dimension).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",22,1510
>3 to 10,Wyoming,"Clay (bentonite and common clay), helium, sand and gravel (construction), soda ash, stone (crushed).",,9,3170
